,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Brae,92,GB,1573949304,86,60.4,-1.35,37.4,4.7
376,Hope,1,US,1573949305,37,33.67,-93.59,51.8,3.04
377,Zhangye,100,CN,1573949307,41,38.94,100.46,18.75,2.73
378,Bartica,75,GY,1573949308,100,6.41,-58.62,77.0,9.17
379,Paamiut,100,GL,1573949309,43,61.99,-49.67,29.71,10.27
380,Sitka,33,US,1573949310,37,37.17,-99.65,59.0,14.92
381,Roebourne,0,AU,1573949311,5,-20.77,117.15,98.22,16.82
382,Peachland,90,CA,1573949312,81,49.77,-119.75,42.8,11.41
383,Biak,66,ID,1573949314,72,-0.91,122.88,80.73,7.11
384,Berlevag,13,NO,1573949315,77,70.86,29.09,31.21,11.72
385,Pevek,88,RU,1573949316,85,69.7,170.27,3.79,4.54
386,Holme,100,DK,1573949317,93,56.11,10.17,48.2,8.05
387,Bukene,86,TZ,1573949319,72,-4.23,32.89,71.4,3.09
388,San Pedro,50,AR,1573949320,74,-33.68,-59.66,70.0,1.01
389,Mega,0,ET,1573949321,73,4.06,38.32,62.67,6.82
390,Sechura,98,PE,1573949323,89,-5.56,-80.82,66.04,14.81
391,Vestmannaeyjar,76,IS,1573949324,63,63.44,-20.27,41.05,23.67
392,Alyangula,75,AU,1573949325,78,-13.85,136.42,82.4,5.82
393,Charleville-Mezieres,20,FR,1573949326,86,49.77,4.72,37.4,6.93
394,Loa Janan,11,ID,1573949327,84,-0.58,117.09,79.99,1.39
395,Penzance,100,GB,1573949329,87,50.12,-5.53,48.99,5.82
396,Vila do Maio,20,CV,1573949330,69,15.13,-23.22,75.2,12.75
397,Klyuchi,98,RU,1573949331,69,52.25,79.17,15.78,11.95
398,Champerico,75,MX,1573949332,73,16.38,-93.6,71.6,8.05
399,Kupang,20,ID,1573949333,62,-10.16,123.6,84.2,4.7
400,Ogbomosho,94,NG,1573949335,73,8.13,4.25,72.0,5.37
401,Ukholovo,0,RU,1573949336,80,53.79,40.49,36.0,1.99
402,San Ramon de la Nueva Oran,100,AR,1573949337,41,-23.13,-64.33,78.15,3.22
403,Kampot,40,KH,1573949338,88,10.62,104.18,77.0,2.24
404,Kruisfontein,100,ZA,1573949339,96,-34.0,24.73,59.58,9.86
405,Lembeni,85,TZ,1573949340,71,-3.78,37.62,75.51,7.0
406,Ixtapa,90,MX,1573949342,69,20.71,-105.21,82.4,3.36
407,The Valley,20,AI,1573949214,83,18.22,-63.06,81.0,3.36
408,Solnechnyy,100,RU,1573949344,83,50.72,136.64,10.62,2.21
409,Pljevlja,51,ME,1573949345,71,43.36,19.36,50.0,5.82
410,Bhera,76,PK,1573949346,60,32.48,72.91,63.68,8.79
411,Sorland,100,NO,1573949347,79,67.67,12.69,40.12,9.24
412,Lagos,20,NG,1573949349,94,6.46,3.39,80.6,2.24
413,Kyshtovka,98,RU,1573949350,95,56.56,76.62,19.67,9.33
414,Rabat,0,MA,1573949344,87,34.02,-6.83,46.0,3.36
415,Acapulco,75,MX,1573949307,78,16.86,-99.88,82.4,6.93
416,Nakambala,100,ZM,1573949353,89,-15.83,27.78,65.55,5.57
417,Guangyuan,75,CN,1573949354,75,32.43,105.86,51.1,5.64
418,Ragusa,75,IT,1573949356,77,36.92,14.72,66.2,11.41
419,Rocha,83,UY,1573949066,86,-34.48,-54.34,63.72,7.0
420,Vestmanna,85,FO,1573949358,86,62.16,-7.17,37.4,8.05
421,Requena,31,ES,1573949359,70,39.49,-1.1,48.0,8.05
422,Macheng,80,CN,1573949361,78,31.18,115.03,60.3,5.75
423,Coihaique,90,CL,1573949362,93,-45.58,-72.07,48.2,5.82
424,Nata,97,BW,1573949363,25,-20.21,26.19,78.93,9.04
425,Los Llanos de Aridane,90,ES,1573949364,72,28.66,-17.92,64.4,12.75
426,Nanortalik,100,GL,1573949365,85,60.14,-45.24,31.89,31.32
427,SIM,0,BR,1573949366,80,-12.25,-38.93,73.83,7.63
428,Qixia,100,CN,1573949368,84,37.31,120.83,55.0,6.49
429,Krasnoarmeysk,90,RU,1573949369,100,56.12,38.15,39.2,8.95
430,Severo-Kurilsk,66,RU,1573949370,74,50.68,156.12,22.14,6.29
431,Tiarei,20,PF,1573949371,70,-17.53,-149.33,84.2,10.29
432,Berezovyy,100,RU,1573949372,65,51.67,135.7,5.29,6.35
433,Seminole,1,US,1573949373,38,32.72,-102.64,64.4,5.82
434,Ipameri,55,BR,1573949375,83,-17.72,-48.16,69.37,1.41
435,Lata,0,IN,1573949376,44,30.78,78.62,22.55,9.55
436,Chabahar,50,IR,1573949377,59,25.29,60.65,60.8,6.93
437,San Ramon,40,NI,1573949378,73,12.92,-85.84,73.4,4.27
438,Ushtobe,0,KZ,1573949379,39,45.25,77.98,23.76,0.78
439,Merauke,68,ID,1573949381,57,-8.49,140.4,88.79,6.55
440,Baruun-Urt,93,MN,1573949382,94,46.68,113.28,4.46,14.99
441,Bonavista,74,CA,1573949383,71,48.65,-53.11,28.99,21.99
442,San Cristobal,94,HN,1573949384,94,14.68,-86.92,66.72,5.3
443,Sembakung,40,ID,1573949385,94,3.82,117.25,78.8,2.24
444,Toora-Khem,79,RU,1573949386,82,52.47,96.11,-14.19,4.32
445,Palmer,40,AU,1573949388,63,-34.85,139.16,64.99,8.05
446,Nantucket,1,US,1573949389,47,41.28,-70.1,37.0,13.87
447,Dauphin,90,CA,1573949390,100,51.15,-100.04,26.6,10.29
448,Lagoa Vermelha,0,BR,1573949223,77,-28.21,-51.53,58.62,9.46
449,Itapirapua,69,BR,1573949392,75,-15.82,-50.61,77.22,3.51
450,Sur,51,OM,1573949393,42,22.57,59.53,70.09,3.09
451,Abohar,0,IN,1573949397,67,30.15,74.2,65.1,6.17
452,Likasi,100,CD,1573949399,89,-10.99,26.74,61.59,3.24
453,Adrar,0,DZ,1573949401,34,27.87,-0.29,53.6,16.11
454,Kochi,75,IN,1573949402,94,9.96,76.25,77.0,1.92
455,Martinsville,1,US,1573949387,56,36.69,-79.87,44.6,11.41
456,Kerouane,100,GN,1573949404,74,12.23,-12.34,72.3,2.39
457,La Tuque,0,CA,1573949405,90,47.44,-72.79,9.39,3.22
458,San Francisco Menendez,26,SV,1573949407,86,13.84,-90.02,71.44,2.44
459,Roald,0,NO,1573949408,86,62.58,6.12,33.8,2.24
460,Samarai,100,PG,1573949409,89,-10.62,150.67,78.89,6.33
461,Belaya Gora,100,RU,1573949410,98,68.54,146.19,-3.15,5.48
462,Saskylakh,100,RU,1573949411,98,71.97,114.09,-8.45,5.59
463,Camacha,40,PT,1573949412,59,33.08,-16.33,64.4,6.93
464,Touros,20,BR,1573949414,78,-5.2,-35.46,78.8,6.93
465,Kikwit,100,CD,1573949415,99,-5.04,18.82,67.64,2.48
466,Micheweni,28,TZ,1573949416,83,-4.97,39.83,81.99,15.14
467,Jawar,0,IQ,1573949417,20,32.75,45.21,60.82,6.26
468,Boyolangu,60,ID,1573949418,76,-8.09,111.9,78.87,7.83
469,Patea,82,NZ,1573949420,92,-39.76,174.48,69.01,11.01
470,Cairns,86,AU,1573949220,54,-16.92,145.77,89.01,5.82
471,Lizzanello,1,IT,1573949422,82,40.3,18.22,64.99,11.41
472,Yatou,75,CM,1573949423,88,3.63,9.81,80.6,4.7
473,Palmerston,20,AU,1573949424,66,-12.49,130.99,93.0,3.36
474,Mbaiki,100,CF,1573949425,82,3.87,17.99,73.2,2.48
475,Isangel,60,VU,1573949427,77,-19.55,169.27,74.57,16.28
476,Tshikapa,100,CD,1573949428,97,-6.42,20.79,69.37,2.06
477,Henties Bay,88,NA,1573949429,94,-22.12,14.28,61.0,5.01
478,Nakanojo,0,JP,1573949430,76,36.61,138.81,50.0,4.0
479,Teahupoo,20,PF,1573949431,66,-17.83,-149.27,86.0,10.29
480,Arawa,64,ID,1573949432,79,-3.93,119.75,81.66,4.03
481,Trinidad,20,BO,1573949383,59,-14.83,-64.9,89.6,3.44
482,Pangody,100,RU,1573949435,95,65.85,74.49,-13.65,16.93
483,Russkaya Polyana,96,RU,1573949436,93,53.78,73.88,22.91,9.44
484,Auki,36,NG,1573949438,22,12.18,6.51,78.46,5.06
485,Bedele,52,ET,1573949439,87,8.46,36.35,58.93,1.9
486,Evensk,58,RU,1573949440,76,61.92,159.24,8.78,13.22
487,Kendrapara,0,IN,1573949441,100,20.5,86.42,69.8,3.98
488,Mangaratiba,3,BR,1573949443,83,-22.96,-44.04,71.6,8.05
489,Damietta,20,EG,1573949264,73,31.42,31.81,71.6,8.05
490,Ratnagiri,2,IN,1573949445,87,16.98,73.3,72.16,2.89
491,Pedro II,75,BR,1573949446,73,-4.43,-41.45,75.51,7.43
492,Bushehr,41,IR,1573949447,54,28.97,50.84,66.15,6.13
493,Grimshaw,90,CA,1573949448,100,56.19,-117.61,37.0,3.36
494,Muisne,90,EC,1573949450,78,0.61,-80.02,80.6,8.05
495,Praia,11,BR,1573949451,78,-20.25,-43.81,71.6,6.93
496,Chenghai,22,CN,1573949452,100,23.46,116.77,60.8,5.82
497,Vallenar,0,CL,1573949453,86,-28.58,-70.76,55.85,3.76
498,Vanimo,100,PG,1573949454,77,-2.67,141.3,82.76,7.94
499,Antsohihy,70,MG,1573949456,88,-14.88,47.99,77.94,1.34
500,Kirovsk,15,RU,1573949457,93,67.62,33.66,13.03,0.92
501,Abancay,76,PE,1573949458,94,-13.64,-72.88,51.66,6.67
502,Buguias,100,PH,1573949459,93,16.8,120.82,65.52,2.89
503,Goundi,67,TD,1573949460,30,9.36,17.37,75.94,2.64
504,Agadez,99,NE,1573949461,14,16.97,7.99,80.37,7.76
505,Dingle,98,PH,1573949463,80,11.0,122.67,79.09,2.73
506,Imbituba,0,BR,1573949464,77,-28.24,-48.67,68.0,11.41
507,Nakatunguru,40,TZ,1573949465,88,-2.12,33.07,71.6,2.48
508,Krasnyy Kholm,99,RU,1573949466,95,58.06,37.11,36.37,5.77
509,Zeya,0,RU,1573949467,87,53.74,127.27,-5.84,2.37
510,Mecca,7,SA,1573949468,67,21.43,39.83,75.06,2.44
511,Mnogovershinnyy,100,RU,1573949470,94,53.94,139.92,19.0,17.45
512,Awjilah,85,LY,1573949471,55,29.14,21.3,61.18,12.12
513,Humberto de Campos,4,BR,1573949473,80,-2.6,-43.46,77.61,6.69
514,Orlik,22,PL,1573949474,86,53.95,17.74,42.01,9.17
515,Haifa,0,IL,1573949475,66,32.82,35.0,62.01,16.49
516,Serenje,100,ZM,1573949476,93,-13.23,30.22,65.52,3.65
517,San Patricio,0,PY,1573949477,64,-26.98,-56.83,68.9,7.58
518,Kurchum,100,KZ,1573949479,67,48.57,83.65,12.65,9.86
519,Pokhara,0,NP,1573949480,87,28.21,83.99,58.41,2.35
520,Sao Felix do Xingu,95,BR,1573949481,93,-6.64,-51.99,74.37,1.05
521,Bom Jesus,32,BR,1573949482,68,-9.08,-44.36,77.31,4.41
522,Aykhal,90,RU,1573949483,83,65.95,111.51,-7.6,2.24
523,Bend,1,US,1573949222,33,44.06,-121.32,60.8,3.36
524,Sumbe,91,AO,1573949485,86,-11.2,13.84,75.87,2.66
525,Lodja,100,CD,1573949487,98,-3.52,23.6,69.53,2.21
526,Puerto Carreno,58,CO,1573949488,66,6.19,-67.49,86.0,5.37
527,Linqiong,15,CN,1573949489,100,30.42,103.46,57.99,1.86
528,Yar-Sale,100,RU,1573949490,96,66.83,70.83,-6.21,17.76
529,Nandu,81,CN,1573949491,82,31.44,119.33,69.01,4.47
530,Poum,91,MK,1573949492,91,41.28,20.71,43.57,5.06
531,Shalyhyne,47,UA,1573949494,84,51.58,34.1,36.37,5.75
532,Smidovich,8,RU,1573949495,61,48.6,133.81,9.57,8.95
533,Ryotsu,29,JP,1573949496,50,38.08,138.43,53.6,4.7
534,Khani,0,GE,1573949497,48,41.96,42.96,51.8,29.97
535,Dudinka,0,RU,1573949491,70,69.41,86.18,-5.8,6.71
536,Hovd,75,NO,1573949500,89,63.83,10.7,39.99,10.29
